Rows,"Insert time, ms","Select time, ms","Index size, MiB"
200k,783,8,6
400k,565,11,10
600k,518,10,15
800k,568,9,19
1000k,553,9,24
1200k,520,8,29
1400k,518,8,33
1600k,549,8,38
1800k,536,9,43
2000k,659,11,47
2200k,761,12,52
2400k,771,8,56
2600k,533,8,61
2800k,564,8,66
3000k,530,10,70
3200k,684,11,75
3400k,788,13,80
3600k,717,11,84
3800k,525,10,89
4000k,566,10,93
4200k,562,12,98
4400k,702,14,103
4600k,772,13,107
4800k,648,11,112
5000k,580,10,117
5200k,530,10,121
5400k,595,12,126
5600k,691,13,130
5800k,756,13,135
6000k,654,11,140
6200k,551,10,144
6400k,1454,10,149
6600k,473,9,154
6800k,477,9,158
7000k,518,9,163
7200k,527,13,167
7400k,701,14,172
7600k,778,11,177
7800k,532,11,181
8000k,580,11,186
8200k,560,14,191
8400k,627,14,195
8600k,710,14,200
8800k,732,13,204
9000k,545,11,209
9200k,512,11,214
9400k,523,10,218
9600k,575,13,223
9800k,718,14,228
10000k,738,16,232
10200k,601,11,237
10400k,519,10,241
10600k,504,11,246
10800k,540,12,251
11000k,681,14,255
11200k,709,14,260
11400k,704,11,265
11600k,565,10,269
11800k,506,10,274
12000k,523,10,278
12200k,512,10,283
12400k,581,10,288
12600k,521,10,292
12800k,700,12,297
13000k,700,13,302
13200k,731,14,306
13400k,625,10,311
13600k,559,10,315
13800k,840,9,320
14000k,1517,9,325
14200k,481,10,329
14400k,540,9,334
14600k,502,9,339
14800k,542,9,343
15000k,600,9,348
15200k,1591,9,352
15400k,485,10,357
15600k,530,10,362
15800k,501,10,366
16000k,1548,10,371
16200k,585,15,375
16400k,589,10,380
16600k,505,10,385
16800k,1514,10,389
17000k,524,9,394
17200k,568,9,399
17400k,666,9,403
17600k,608,12,408
17800k,712,16,412
18000k,686,9,417
18200k,622,10,422
18400k,763,10,426
18600k,626,12,431
18800k,735,13,436
19000k,745,10,440
19200k,589,10,445
19400k,591,10,449
19600k,631,10,454
19800k,840,11,459
20000k,732,12,463
