Rows,"auto_inc mysql, ms","auto_inc postgres, ms","uuidv1 mysql, ms","uuidv1 postgres, ms","uuidv7 mysql, ms","uuidv7 postgres, ms","varbinary mysql, ms","varbinary postgres, ms","varchar mysql, ms","varchar postgres, ms"
200k,8,4,20,13,23,11,9,12,14,13
400k,11,2,18,2,31,2,11,2,16,4
600k,10,2,18,2,23,1,10,2,15,5
800k,9,2,26,2,32,2,11,2,16,5
1000k,9,2,18,2,24,2,11,2,15,4
1200k,8,2,21,2,30,2,8,2,12,5
1400k,8,2,18,2,24,1,9,2,13,5
1600k,8,2,18,2,24,1,8,2,12,5
1800k,9,2,24,2,39,2,9,2,13,5
2000k,11,2,18,2,25,2,11,3,13,5
2200k,12,2,18,2,32,2,11,4,14,5
2400k,8,2,17,2,26,2,11,2,16,5
2600k,8,2,17,2,26,2,15,2,17,5
2800k,8,2,22,2,23,2,16,2,16,5
3000k,10,2,16,2,28,2,12,2,18,5
3200k,11,2,16,2,24,2,11,2,16,5
3400k,13,2,18,2,23,2,15,3,16,7
3600k,11,2,17,2,28,2,10,2,16,6
3800k,10,2,22,2,26,2,9,2,16,6
4000k,10,2,16,2,41,2,12,2,39,6
4200k,12,2,23,2,19,1,13,2,16,6
4400k,14,2,16,2,20,2,9,2,23,5
4600k,13,2,19,2,19,2,9,2,16,6
4800k,11,2,16,2,22,2,9,2,16,6
5000k,10,2,17,2,19,2,9,2,16,6
5200k,10,3,16,2,19,2,9,2,17,6
5400k,12,2,23,2,20,2,9,2,16,6
5600k,13,2,26,2,28,2,12,2,16,6
5800k,13,2,16,2,20,1,12,2,17,6
6000k,11,2,16,2,19,2,10,2,16,6
6200k,10,2,16,2,20,2,10,4,23,6
6400k,10,2,16,2,24,2,10,2,16,6
6600k,9,2,17,2,20,2,10,2,16,6
6800k,9,4,20,2,20,1,14,2,15,6
7000k,9,2,16,2,22,1,10,3,16,6
7200k,13,2,16,2,19,1,11,2,21,6
7400k,14,2,16,2,19,2,15,2,16,5
7600k,11,2,23,2,21,4,16,2,16,6
7800k,11,2,16,2,22,2,11,2,16,6
8000k,11,2,16,2,20,1,10,2,14,6
8200k,14,2,21,1,20,2,10,2,19,6
8400k,14,2,16,2,26,2,9,2,18,6
8600k,14,2,14,2,22,2,10,2,16,6
8800k,13,2,24,2,22,2,10,2,16,6
9000k,11,2,16,2,15,2,10,2,16,6
9200k,11,2,16,2,17,2,11,2,16,6
9400k,10,2,16,2,17,2,12,2,23,6
9600k,13,2,22,2,15,2,10,2,16,6
9800k,14,2,16,1,16,2,10,2,16,6
10000k,16,2,16,2,15,2,10,2,16,6
10200k,11,2,14,3,17,2,11,2,12,7
10400k,10,2,14,1,15,2,9,2,14,6
10600k,11,2,14,2,17,2,11,2,16,6
10800k,12,2,14,2,16,2,13,2,12,6
11000k,14,2,14,2,15,2,10,2,12,6
11200k,14,2,20,2,15,2,8,2,13,6
11400k,11,2,13,2,17,2,9,2,13,6
11600k,10,2,15,2,16,2,9,2,21,6
11800k,10,2,14,2,17,2,9,3,13,7
12000k,10,2,14,2,24,2,9,2,13,7
12200k,10,2,14,2,18,2,9,3,17,25
12400k,10,2,22,2,17,2,9,2,13,8
12600k,10,2,14,2,25,2,10,2,13,10
12800k,12,2,15,2,16,2,9,2,12,8
13000k,13,2,14,2,18,2,11,2,18,7
13200k,14,2,14,2,15,2,11,2,13,6
13400k,10,2,14,2,16,2,12,2,17,7
13600k,10,2,15,2,16,2,8,2,17,7
13800k,9,2,21,2,16,2,11,2,12,7
14000k,9,2,14,2,15,2,11,3,13,7
14200k,10,2,14,2,20,2,9,3,12,20
14400k,9,2,15,2,17,1,9,2,16,15
14600k,9,2,14,2,16,2,9,2,13,6
14800k,9,2,14,2,18,2,10,2,12,7
15000k,9,2,23,2,18,2,12,2,12,7
15200k,9,2,15,2,17,1,13,2,12,6
15400k,10,2,15,2,15,2,10,2,13,6
15600k,10,2,15,2,16,2,9,2,16,6
15800k,10,2,15,2,16,2,12,2,12,11
16000k,10,2,16,2,18,2,10,3,12,7
16200k,15,2,23,2,16,2,9,5,12,6
16400k,10,2,16,1,16,2,9,2,12,7
16600k,10,2,15,2,15,2,10,2,13,13
16800k,10,2,16,2,18,2,12,2,17,14
17000k,9,2,16,2,17,2,9,2,11,10
17200k,9,2,15,2,16,2,9,2,12,9
17400k,9,2,23,2,17,2,13,2,12,10
17600k,12,2,15,1,18,2,9,2,17,8
17800k,16,2,14,2,16,2,9,2,12,8
18000k,9,2,17,2,16,2,9,2,12,7
18200k,10,2,14,2,16,2,9,2,11,6
18400k,10,3,14,2,15,2,12,2,12,7
18600k,12,2,19,2,18,2,13,2,15,7
18800k,13,2,14,2,16,2,9,2,13,6
19000k,10,2,14,2,16,2,9,2,12,6
19200k,10,2,15,2,21,2,9,2,16,6
19400k,10,2,14,2,16,2,9,3,26,7
19600k,10,2,14,2,25,2,13,2,12,7
19800k,11,2,15,2,16,1,10,2,12,7
20000k,12,2,21,2,17,2,9,2,12,8
Rows,"auto_inc mysql, ms","auto_inc postgres, ms","uuidv1 mysql, ms","uuidv1 postgres, ms","uuidv7 mysql, ms","uuidv7 postgres, ms","varbinary mysql, ms","varbinary postgres, ms",,
