Rows,"Insert time, ms","Select time, ms","Index size, MiB"
200k,1071,20,8
400k,872,18,15
600k,837,18,22
800k,1131,26,29
1000k,783,18,36
1200k,829,21,44
1400k,869,18,51
1600k,792,18,58
1800k,1008,24,65
2000k,856,18,72
2200k,1002,18,79
2400k,827,17,86
2600k,812,17,93
2800k,939,22,100
3000k,818,16,107
3200k,825,16,114
3400k,1085,18,121
3600k,828,17,129
3800k,890,22,136
4000k,834,16,143
4200k,1076,23,150
4400k,800,16,157
4600k,870,19,164
4800k,964,16,171
5000k,827,17,178
5200k,835,16,185
5400k,1146,23,192
5600k,1157,26,199
5800k,834,16,207
6000k,808,16,214
6200k,813,16,221
6400k,812,16,228
6600k,848,17,235
6800k,864,20,242
7000k,838,16,249
7200k,812,16,256
7400k,803,16,263
7600k,1061,23,270
7800k,873,16,277
8000k,848,16,284
8200k,874,21,292
8400k,845,16,299
8600k,913,14,307
8800k,1061,24,314
9000k,837,16,321
9200k,819,16,328
9400k,826,16,335
9600k,978,22,342
9800k,855,16,349
10000k,830,16,356
10200k,807,14,363
10400k,1052,14,371
10600k,820,14,378
10800k,802,14,385
11000k,821,14,392
11200k,1164,20,399
11400k,820,13,406
11600k,856,15,413
11800k,891,14,420
12000k,811,14,427
12200k,837,14,434
12400k,1056,22,441
12600k,824,14,448
12800k,1025,15,456
13000k,879,14,463
13200k,835,14,470
13400k,828,14,477
13600k,809,15,484
13800k,1071,21,491
14000k,825,14,498
14200k,811,14,505
14400k,828,15,512
14600k,814,14,519
14800k,842,14,526
15000k,1094,23,534
15200k,818,15,541
15400k,843,15,548
15600k,956,15,555
15800k,820,15,562
16000k,850,16,569
16200k,1059,23,576
16400k,810,16,583
16600k,916,15,590
16800k,803,16,597
17000k,827,16,604
17200k,820,15,611
17400k,952,23,619
17600k,819,15,626
17800k,810,14,633
18000k,1155,17,640
18200k,792,14,647
18400k,809,14,654
18600k,1144,19,661
18800k,830,14,668
19000k,850,14,675
19200k,1054,15,682
19400k,830,14,689
19600k,807,14,697
19800k,896,15,704
20000k,1021,21,711
