Rows,"Insert time, ms","Select time, ms","Index size, MiB"
200k,258,13,6
400k,259,2,12
600k,379,2,18
800k,227,2,24
1000k,217,2,30
1200k,227,2,36
1400k,227,2,42
1600k,202,2,48
1800k,194,2,54
2000k,197,2,60
2200k,198,2,66
2400k,191,2,72
2600k,195,2,78
2800k,201,2,84
3000k,203,2,90
3200k,200,2,96
3400k,197,2,102
3600k,202,2,108
3800k,258,2,114
4000k,205,2,120
4200k,220,2,126
4400k,204,2,132
4600k,198,2,138
4800k,198,2,144
5000k,226,2,150
5200k,213,2,156
5400k,223,2,162
5600k,284,2,168
5800k,202,2,174
6000k,270,2,181
6200k,217,2,187
6400k,277,2,193
6600k,245,2,199
6800k,240,2,205
7000k,208,2,211
7200k,261,2,217
7400k,203,2,223
7600k,236,2,229
7800k,206,2,235
8000k,204,2,241
8200k,212,1,247
8400k,238,2,253
8600k,194,2,259
8800k,187,2,265
9000k,257,2,271
9200k,201,2,277
9400k,255,2,283
9600k,238,2,289
9800k,245,1,295
10000k,266,2,301
10200k,276,3,307
10400k,216,1,313
10600k,294,2,319
10800k,195,2,325
11000k,189,2,331
11200k,190,2,337
11400k,200,2,343
11600k,211,2,349
11800k,247,2,355
12000k,185,2,361
12200k,192,2,367
12400k,218,2,373
12600k,217,2,379
12800k,188,2,385
13000k,248,2,391
13200k,190,2,397
13400k,184,2,403
13600k,245,2,409
13800k,192,2,415
14000k,219,2,421
14200k,194,2,427
14400k,258,2,436
14600k,296,2,447
14800k,280,2,458
15000k,411,2,469
15200k,298,2,480
15400k,298,2,491
15600k,335,2,502
15800k,364,2,512
16000k,355,2,523
16200k,418,2,534
16400k,347,1,545
16600k,339,2,556
16800k,437,2,567
17000k,336,2,578
17200k,448,2,588
17400k,339,2,599
17600k,660,1,610
17800k,338,2,621
18000k,392,2,632
18200k,307,2,643
18400k,381,2,653
18600k,294,2,664
18800k,293,2,675
19000k,383,2,686
19200k,326,2,697
19400k,382,2,708
19600k,365,2,719
19800k,329,2,729
20000k,352,2,740
