Rows,"Insert time, ms","Select time, ms","Index size, MiB"
200k,1103,9,12
400k,804,11,23
600k,952,10,34
800k,856,11,44
1000k,841,11,55
1200k,2111,8,66
1400k,864,9,77
1600k,838,8,88
1800k,865,9,99
2000k,1865,11,111
2200k,989,11,121
2400k,839,11,132
2600k,1220,15,143
2800k,1213,16,154
3000k,911,12,165
3200k,829,11,176
3400k,1079,15,186
3600k,1309,10,199
3800k,918,9,211
4000k,932,12,221
4200k,1233,13,233
4400k,1011,9,243
4600k,878,9,254
4800k,856,9,265
5000k,908,9,275
5200k,866,9,286
5400k,894,9,298
5600k,1011,12,309
5800k,1299,12,320
6000k,933,10,330
6200k,889,10,341
6400k,861,10,352
6600k,873,10,363
6800k,1104,14,374
7000k,1228,10,384
7200k,932,11,395
7400k,919,15,406
7600k,1263,16,417
7800k,1075,11,428
8000k,881,10,440
8200k,940,10,450
8400k,1948,9,461
8600k,821,10,472
8800k,1872,10,484
9000k,759,10,494
9200k,1806,11,504
9400k,1832,12,517
9600k,764,10,527
9800k,816,10,538
10000k,845,10,548
10200k,1001,11,559
10400k,919,9,571
10600k,920,11,582
10800k,1197,13,594
11000k,1138,10,605
11200k,1883,8,616
11400k,1853,9,627
11600k,1839,9,639
11800k,797,9,649
12000k,971,9,660
12200k,1265,9,671
12400k,826,9,681
12600k,805,10,691
12800k,1058,9,702
13000k,853,11,713
13200k,1002,11,725
13400k,1234,12,736
13600k,1002,8,747
13800k,937,11,758
14000k,1113,11,770
14200k,1272,9,780
14400k,869,9,792
14600k,873,9,802
14800k,990,10,813
15000k,964,12,824
15200k,1251,13,836
15400k,991,10,847
15600k,1135,9,858
15800k,1051,12,870
16000k,1150,10,881
16200k,1924,9,891
16400k,798,9,902
16600k,905,10,913
16800k,1231,12,924
17000k,1160,9,935
17200k,1069,9,946
17400k,1185,13,956
17600k,1178,9,968
17800k,1045,9,978
18000k,1033,9,989
18200k,854,9,1000
18400k,944,12,1012
18600k,1255,13,1023
18800k,928,9,1034
19000k,888,9,1044
19200k,876,9,1055
19400k,856,9,1066
19600k,1084,13,1077
19800k,1235,10,1088
20000k,944,9,1100
