Rows,"Insert time, ms","Select time, ms","Index size, MiB"
200k,351,12,9
400k,344,2,16
600k,364,2,23
800k,365,2,31
1000k,356,2,38
1200k,364,2,45
1400k,367,2,53
1600k,383,2,61
1800k,370,2,68
2000k,365,3,76
2200k,389,4,82
2400k,366,2,90
2600k,360,2,96
2800k,348,2,103
3000k,371,2,110
3200k,372,2,117
3400k,356,3,124
3600k,338,2,130
3800k,386,2,138
4000k,371,2,145
4200k,356,2,152
4400k,356,2,159
4600k,391,2,167
4800k,393,2,174
5000k,407,2,182
5200k,371,2,189
5400k,378,2,197
5600k,335,2,206
5800k,333,2,214
6000k,329,2,221
6200k,368,4,229
6400k,342,2,238
6600k,351,2,246
6800k,336,2,253
7000k,364,3,260
7200k,350,2,267
7400k,330,2,274
7600k,338,2,281
7800k,341,2,288
8000k,399,2,296
8200k,375,2,304
8400k,360,2,313
8600k,346,2,322
8800k,331,2,329
9000k,348,2,337
9200k,350,2,345
9400k,340,2,352
9600k,399,2,361
9800k,334,2,369
10000k,351,2,377
10200k,357,2,384
10400k,347,2,391
10600k,337,2,399
10800k,353,2,405
11000k,353,2,413
11200k,346,2,420
11400k,405,2,429
11600k,389,2,436
11800k,368,3,443
12000k,381,2,450
12200k,369,3,458
12400k,416,2,465
12600k,402,2,472
12800k,444,2,480
13000k,520,2,488
13200k,385,2,495
13400k,378,2,502
13600k,379,2,509
13800k,383,2,517
14000k,473,3,524
14200k,560,3,532
14400k,415,2,538
14600k,401,2,545
14800k,383,2,552
15000k,399,2,559
15200k,408,2,566
15400k,385,2,574
15600k,393,2,580
15800k,393,2,588
16000k,414,3,595
16200k,442,5,602
16400k,405,2,610
16600k,385,2,617
16800k,385,2,624
17000k,385,2,631
17200k,385,2,638
17400k,388,2,645
17600k,400,2,655
17800k,396,2,663
18000k,400,2,671
18200k,417,2,679
18400k,388,2,686
18600k,396,2,694
18800k,444,2,703
19000k,436,2,711
19200k,430,2,719
19400k,409,3,728
19600k,523,2,736
19800k,421,2,744
20000k,377,2,753
