Rows,"Insert time, ms","Select time, ms","Index size, MiB"
200k,1179,14,12
400k,1082,16,23
600k,1099,15,34
800k,1116,16,45
1000k,1172,15,55
1200k,1166,12,67
1400k,1171,13,78
1600k,1187,12,88
1800k,1181,13,99
2000k,1157,13,110
2200k,1172,14,122
2400k,1203,16,133
2600k,1184,17,144
2800k,1203,16,155
3000k,1248,18,165
3200k,1253,16,176
3400k,1176,16,187
3600k,1201,16,198
3800k,1230,16,211
4000k,2602,39,221
4200k,1550,16,232
4400k,1548,23,243
4600k,1489,16,255
4800k,1212,16,266
5000k,1237,16,278
5200k,1217,17,289
5400k,1231,16,301
5600k,1212,16,312
5800k,1230,17,323
6000k,1172,16,334
6200k,1646,23,345
6400k,1382,16,355
6600k,1294,16,366
6800k,1250,15,377
7000k,1240,16,388
7200k,1373,21,399
7400k,1632,16,410
7600k,1251,16,421
7800k,2170,16,432
8000k,1160,14,444
8200k,1229,19,455
8400k,1711,18,465
8600k,1242,16,476
8800k,1238,16,487
9000k,1283,16,499
9200k,1220,16,510
9400k,1616,23,521
9600k,1500,16,532
9800k,1217,16,543
10000k,1239,16,555
10200k,1262,12,566
10400k,1316,14,577
10600k,1744,16,588
10800k,1406,12,601
11000k,1327,12,612
11200k,1360,13,623
11400k,1314,13,634
11600k,2008,21,645
11800k,1483,13,655
12000k,1465,13,667
12200k,1456,17,679
12400k,1979,13,690
12600k,1283,13,700
12800k,1283,12,712
13000k,1534,18,723
13200k,1662,13,734
13400k,1426,17,745
13600k,2279,17,755
13800k,1580,12,766
14000k,1336,13,778
14200k,1330,12,789
14400k,1359,16,799
14600k,1741,13,810
14800k,1240,12,822
15000k,1253,12,833
15200k,1270,12,843
15400k,1219,13,853
15600k,1548,16,864
15800k,1509,12,875
16000k,1243,12,886
16200k,1217,12,896
16400k,1218,12,906
16600k,1264,13,918
16800k,1720,17,929
17000k,1343,11,940
17200k,1228,12,950
17400k,1232,12,963
17600k,1666,17,973
17800k,1424,12,985
18000k,1233,12,996
18200k,1244,11,1007
18400k,1223,12,1017
18600k,1320,15,1028
18800k,1822,13,1039
19000k,1261,12,1051
19200k,1311,16,1061
19400k,1943,26,1072
19600k,1834,12,1083
19800k,1239,12,1094
20000k,1205,12,1105
