Rows,"Insert time, ms","Select time, ms","Index size, MiB"
200k,749,13,8
400k,832,4,16
600k,825,5,23
800k,812,5,30
1000k,822,4,38
1200k,860,5,45
1400k,881,5,52
1600k,882,5,59
1800k,893,5,66
2000k,909,5,73
2200k,931,5,80
2400k,911,5,87
2600k,932,5,94
2800k,914,5,101
3000k,917,5,108
3200k,926,5,115
3400k,992,7,124
3600k,1342,6,132
3800k,915,6,140
4000k,900,6,148
4200k,905,6,156
4400k,903,5,165
4600k,920,6,173
4800k,915,6,182
5000k,942,6,190
5200k,944,6,197
5400k,949,6,206
5600k,941,6,213
5800k,945,6,220
6000k,945,6,229
6200k,946,6,237
6400k,1048,6,246
6600k,913,6,253
6800k,946,6,261
7000k,920,6,269
7200k,933,6,277
7400k,919,5,286
7600k,933,6,293
7800k,921,6,301
8000k,923,6,309
8200k,920,6,317
8400k,935,6,325
8600k,947,6,333
8800k,919,6,340
9000k,954,6,349
9200k,969,6,357
9400k,955,6,364
9600k,964,6,372
9800k,964,6,380
10000k,951,6,389
10200k,1191,7,396
10400k,1004,6,405
10600k,971,6,413
10800k,989,6,422
11000k,1001,6,430
11200k,993,6,439
11400k,1051,6,446
11600k,1106,6,454
11800k,1184,7,461
12000k,1168,7,468
12200k,2068,25,476
12400k,1462,8,485
12600k,1472,10,493
12800k,1253,8,500
13000k,1157,7,509
13200k,1137,6,517
13400k,1278,7,526
13600k,1104,7,534
13800k,1087,7,543
14000k,1115,7,552
14200k,1129,20,559
14400k,2262,15,566
14600k,1396,6,574
14800k,1104,7,583
15000k,1110,7,591
15200k,1076,6,598
15400k,1067,6,606
15600k,1052,6,613
15800k,1230,11,621
16000k,1497,7,630
16200k,1479,6,637
16400k,1081,7,644
16600k,2267,13,651
16800k,2539,14,658
17000k,1880,10,667
17200k,1360,9,674
17400k,1521,10,682
17600k,1406,8,690
17800k,1453,8,696
18000k,1079,7,703
18200k,1102,6,710
18400k,1086,7,718
18600k,1095,7,726
18800k,1091,6,733
19000k,1096,6,741
19200k,1064,6,747
19400k,1083,7,754
19600k,1074,7,762
19800k,1086,7,770
20000k,1317,8,777
